Name	Top	Heart	Base	Label
Michael Aura	Oak_Moss,Galbanum,Pinkpepper,Rose_Water	Pepper,Champaca,Quince	Powdery_Notes	Losing
Alexa Mist	Olive_Flower,Bitter_Orange,Spice	Lemon	Neroli,Mandarin	Losing
Versace_Pour_Homme_Cologne_By_Versace_for_Men	Bergamot,Diamante_Citron,Orange_(leaves),Neroli	Geranium,Hyacinth_(blue),Cedarwood,Clary_Sage	Oud_(oudh,Agar_Or_Aloeswood),Amber_(mineral),Musk,Tonka_Bean	Winning
Be_Delicious_Perfume_By_Donna_Karan	Grapefruit,Apple_(red),Cucumber	Lily_Of_The_Valley_(muguet),Magnolia,Rose,Tuberose,Violet	Sandalwood,Woods_(blonde),Amber_(white),Tender_Skin_Accord	Winning
Curve_Cologne_By_Liz_Claiborne	Bergamot,Lavender,Leaves_(green),Juniperberry	Bergamot,Cactus_Flower,Cardamom,Fir_(douglas),Ginseng	Pepper_(black),Mahogany,Sandalwood,Vetiver,Amber	Winning
Shalimar_By_Guerlain	Bergamot,Lemon	Jasmine,Rose,Rose_(may_Rose_Or_Rose_De_Mai)	Iris_(orris),Incense,Opopanax,Tonka_Bean,Vanilla	Winning
Happy_Perfume_By_Clinique	Bergamot,Grapefruit_(ruby_Red),Laurel,Mandarin_Blossom	Boysenberry_Flower,Jasmine_(indonesian),Orchid_(morning_Dew)	Crinum_Lily_(white),Hawaiian_Wedding_Flower,Magnolia,Mimosa,Transparent_Wood_Note	Winning
Jeffery Whisper	Waterlily_(blue),Quince,Nutmeg,Almond_(sugared)	Plum_(damson),White_Woods	Mahogany,Raspberry,Boysenberry_Flower,Mint	Losing
Opium_Perfume_By_Yves_Saint_Laurent	Bergamot,Tangerine,Lily_Of_The_Valley_(muguet),Coriander,Pepper,Aldehydes,Plum(edp)	Carnation,Jasmine,Rose,Ylang-ylang,Cinnamon,Clove,Myrrh,Peach	Cedarwood,Patchouli,Sandalwood_(australian),Amber,Cistus_Labdanum_(rockrose),Musk,Benzoin,Opopanax,Vanilla	Winning
5th_Avenue_Perfume_By_Elizabeth_Arden	Bergamot,Mandarin,Lilac,Lily_Of_The_Valley_(muguet),Linden_Blossom,Magnolia,Aldehydes	Jasmine,Rose_(bulgarian),Tuberose,Violet,Ylang-ylang,Clove,Nutmeg,Peach	Iris_(orris),Sandalwood,Amber,Musk,Tonka_Bean,Vanilla	Winning
Jimmy_Choo_Perfume_By_Jimmy_Choo	Pear,Mandarin_Orange,Green_Notes	Orchid	Toffee,Patchouli	Winning
Oscar_Perfume_By_Oscar_De_La_Renta	Orange_Blossom,Basil,Cascarilla,Coriander	Jasmine,Rose_(may_Rose_Or_Rose_De_Mai),Tuberose,Ylang-ylang,Vetiver,Broom	Clove,Myrrh,Patchouli,Sandalwood,Vetiver,Opopanax,Vanilla	Winning
White_Shoulders_Perfume_By_Evyan	Neroli,Tuberose,Aldehydes	Gardenia,Iris_(orris),Jasmine,Lilac,Lily_Of_The_Valley_(muguet),Rose	Sandalwood,Oakmoss,Amber,Civet,Musk	Winning
Charles Essence	Lavender,Dried_Fruits	Rhubarb,Amber_Spice_Accord,Pink_Floral_Accord	Papaya,Floral_Honey_Accord,Amberwood,Plum(edt)	Losing
Rhonda Mist	Chamomile,Floral_Honey_Accord,Bamboo,Musk	Woods_(precious),Honeysuckle,Waterlily_(blue),Suede	Castoreum	Losing
Amy Flame	Carnation,Fir_Balsam,Lemon_Peel,Angelica_Root	Acacia,Amber,Artemisia_(armoise),Heliotrope	Orchid_(oriental)	Losing
Jovan_Musk_Perfume_By_Jovan	Lemon,Lavender,Spearmint,Aldehydes	Lily_Of_The_Valley,Neroli,Ylang-ylang,Clove	Patchouli,Vetiver,Amber,Musk	Winning
Kendra Mist	Hedione,Mint,Urban_Energy_Accord,Calabrian	Pepper_(white),Elemi	Ginger	Losing
Lovely_Perfume_By_Sarah_Jessica_Parker	Bergamot,Mandarin,Lavender,Rosewood,Apple_Martini	Orchid,Paperwhites_(indoor_Narcissus),Patchouli	Cedarwood,Sultry_Woods,Amber_(white),Musk	Winning
Scott Aura	Rose_(turkish,Violet_(parma),Yuzu,Orchid_(oriental)	Cyclamen,Rose_(baie)	Tuberose	Losing
Elizabeth Essence	Papaya,Gardenia	Tea_(green),Orange	Blood_Orange,Amber_Spice_Accord,Moss,Bellflower	Losing
Passion_Perfume_By_Elizabeth_Taylor	Gardenia,Jasmine,Lily_Of_The_Valley_(muguet),Rose,Ylang-ylang	Amber_Spice_Accord,Musk	Cedarwood,Patchouli,Sandalwood,Oakmoss,Incense	Winning
Amy Aura	Orange	Mimosa,Tea,Transparent_Wood_Note	Cardamom,Jasmine_(indonesian),Rhubarb	Losing
Bright_Crystal_By_Versace	Yuzu,Pomegranate,Water_Notes	Peony,Lotus,Magnolia	Musk,Mahogany,Amber	Winning
Bryan Flame	Sicilian_Lemon,Peach,Oakmoss_Amber_(white)	Wood_(white)	Blood_Orange,Peony	Losing
Versace_Pour_Homme_Dylan_Blue_Cologne_By_Versace	Calabrian_Bergamot,Water_Notes,Grapefruit,Fig_Leaf	Ambroxan,Black_Pepper,Patchouli,Violet_Leaf,Papyrus	Incense,Musk,Tonka_Bean,Saffron	Winning
Tommy Aura	Cardamom,Cedar_Leaves,Petitgrain	Tolu,Rose	Orchid_(coconut)	Losing
Martin Whisper	Apple_Blossom,Osmanthus	Pear,Sage,Coumarin,Mint	Pineapple,Green_Notes,Rosewood	Losing
Sharon Whisper	Musk_(skin_Accord),Lily,Lily_Of_The_Valley_(muguet)	Peach_(white),Floral_Energy_Accord,Lily_Of_The_Valley_(muguet)	Jasmine_(egyptian)	Losing
Kayla Aura	Lily_Of_The_Valley,Nasturtium,Waterlily,Clove	Violet	Jasmine_(moroccan),Musk_(sheer),Ozonic_Accord,Jasmine_(egyptian)	Losing
Sauvage_Cologne_By_Christian_Dior	Calabrian,Pepper	Sichuan_Pepper,Lavender,Pinkpepper,Vetiver,Patchouli,Geranium,Elemi	Ambroxan,Cedar,Labdanum	Winning
Shane Flame	Pear_(iced)	Sea_Water,Bellflower,Papyrus,Lily_(amazon)	Grapefruit,Pinkpepper,Toffee	Losing
William Whisper	Cinnamon,Fir_Balsam	Musk_(sheer),Elemi,Cistus_Labdanum_(rockrose)	Bellflower	Losing
Thomas Flame	Cassia_Bark,Lotus,Amber_(mineral),Orchid_(cattleya)	Orchid	Moss,Aquatic_Accord,Balsam	Losing
Brian Essence	Basil,Plum(edt),Laurel,Orchid_(coconut)	Rose_Water	Orchid_(morning_Dew)	Losing
Paloma_Picasso_Perfume_By_Paloma_Picasso	Bergamot,Lemon,Hyacinth,Ylang-ylang,Clove,Angelica_Root	Iris_(orris),Jasmine,Lily_Of_The_Valley_(muguet),Rose_(may_Rose_Or_Rose_De_Mai),Coriander	Cedarwood,Patchouli,Sandalwood,Vetiver,Oakmoss,Amber,Castoreum,Civet,Musk,Tobacco	Winning
James Flame	Orchid_(coconut),Juniper_Berries,Neroli,Peach_Nectar	Waterlily_(blue),Strawberry_(wild),Cotton_Candy,Hawthorn_(aubepine)	Leaves_(green),Herbs,Opopanax,Fir_Balsam	Losing
Cool_Water_Perfume_By_Davidoff	Citrus_Accord,Lotus_Flower,Waterlily,Blackcurrant_Buds_(cassis),Honeydew_Melon,Pineapple,Quince	Jasmine,Lily_Of_The_Valley_(muguet),Rose_(may_Rose_Or_Rose_De_Mai)	Iris_(orris),Mulberry,Orchid,Sandalwood	Winning
Jonathan Flame	Orchid_(black),Coumarin	Paperwhites_(indoor_Narcissus)	Elemi,Violet_Leaf,Cinnamon	Losing
1_Million_Cologne_By_Paco_Rabanne	Grapefruit,Mint,Blood_Orange	Rose,Cinnamon,Spice_Notes,Blond_Leather_	White_Woods,Amber,Patchouli	Winning
Chad Mist	Ambergris,Labdanum	Musk_(transparent),Cactus_Flower,Oakmoss_Amber_(white)	Cotton_Candy	Losing
Ck_One_Cologne_By_Calvin_Klein	Bergamot,Cardamom,Tea_(green),Papaya,Pineapple	Rose,Violet,Nutmeg,Tea_(green),Hedione_High_Cis	Amber,Musks,Tea_(green)	Winning
Jason Essence	Apricot,Papaya,Plum(edt),Acacia	Crinum_Lily_(white),Broom,Osmanthus(edp)	Dewberry	Losing
White_Diamonds_Perfume_By_Elizabeth_Taylor	Lily_(amazon),Neroli,Aldehydes	Iris_(orris),Jasmine,Narcissus,Rose,Tuberose	Patchouli,Sandalwood,Oakmoss,Amber	Winning
Chrome_Cologne_By_Azzaro	Bergamot,Tea_(green)	Spicy_Citrus_Accord,Aquatic_Accord,Ginger	Sandalwood,Woods_(precious),Musk_(transparent)	Winning
Stephen Whisper	Spruce,Pepper_(black),Musk_(sheer),Creamy_Accord	Angelica_Root,Amber_(mineral)	Orris	Losing
Eternity_Perfume_By_Calvin_Klein	Green_Notes,Freesia,Sage,Citruses,Mandarin_Orange	Carnation,Lily,Lily_Of_The_Valley,Narcissus,Marigold,Violet,Rose,Jasmine	Heliotrope,Musk,Sandalwood,Amber,Patchouli	Winning
Azzaro_Cologne_By_Azzaro	Bergamot,Lemon,Petitgrain,Geranium,Lavender,Basil	Cardamom,Patchouli,Vetiver,Oakmoss,Anise_(aniseed),Fennel	Sandalwood,Amber,Ambergris,Musk	Winning
Youth_Dew_Perfume_By_Estee_Lauder	Bergamot,Geranium,Chamomile	Carnation,Jasmine,Lily_Of_The_Valley_(muguet),Rose,Cinnamon,Clove	Patchouli,Vetiver,Oakmoss,Cistus_Labdanum_(rockrose),Benzoin	Winning
Brooke Aura	Ylang-ylang,Waterlily_(blue)	Carnation(edp),Blond_Leather_	Amber_Light_Accord	Losing
Hector Aura	Patchouli,Pepper,Spicy_Citrus_Accord,Lime	Tender_Skin_Accord,Rose_(turkish	Angelica_Root	Losing
Eileen Aura	Amberwood,Lily_(amazon)	White_Rose,Mandarin_Orange	Lily_Of_The_Valley_(muguet),Fir_(douglas)	Losing
Cool_Water_Cologne_By_Davidoff	Sea_Water,Lavender,Mint,Green_Notes,Rosemary,Calone,Coriander	Sandalwood,Neroli,Geranium,Jasmine	Musk,Tobacco,Oakmoss,Cedar,Amber	Winning
Jose Essence	Ginseng,Plum(edt),Olive_Flower,Lime	Papyrus,Pear_Sorbet,Exotic_Woods,Clove	Raspberry,Labdanum	Losing
Denise Mist	Transparent_Wood_Note,Bergamot	Star_Anise,Floral_Honey_Accord,Orchid_(morning_Dew)	Musk-like_Notes	Losing
Eternity_Cologne_By_Calvin_Klein	Lavender,Lemon,Bergamot,Mandarin_Orange	Juniper_Berries,Sage,Coriander,Geranium,Basil,Jasmine,Orange_Blossom,Lily,Lily_Of_The_Valley	Sandalwood,Vetiver,Musk,Brazilian_Rosewood,Amber	Winning
Gregory Mist	Heather	Fir_Balsam	Ozonic_Accord,Lotus_Flower,Aquatic_Accord	Losing
Polo_Cologne_By_Ralph_Lauren	Spruce,Basil,Chamomile,Coriander,Thyme	Clove,Marjoram,Coriander	Leather,Patchouli,Oakmoss,Tobacco_Leaves	Winning
Burberry_Brit_Perfume_By_Burberry	Lime,Almond_(green),Pear_(iced)	Peony_(white),Almond_(sugared)	Mahogany,Amber,Tonka_Bean,Vanilla	Winning
Viva_La_Juicy_Perfume_By_Juicy_Couture	Mandarin,Peach_Nectar,Berries_(wild)	Gardenia,Jasmine,Orchid_(coconut)	Wood_(creamy),Amber,Vanilla,Caramel	Winning
Kiara Whisper	Rose_(sungoddess),Orchid_(coconut)	Cupcake_Accord	Leaves_(ivy),Jasmine_(egyptian),Rose_(tea),Water_Notes	Losing
4711_Cologne_By_4711	Bergamot,Lemon,Orange,Petitgrain,Neroli	Rosemary,Rose	Musk,Wood	Winning
Giorgio_Perfume_By_Giorgio_Beverly_Hills	Bergamot,Orange_Blossom,Green_Notes,Aldehydes,Fruity_Accord	Gardenia,Jasmine,Orchid,Tuberose,Ylang-ylang	Cedarwood,Sandalwood,Moss,Amber-like_Notes,Musk-like_Notes,Vanilla	Winning
Catherine Whisper	Pineapple,Lily_Of_The_Valley_(muguet)	Rhubarb,Plum_(damson),Wood	Pepper,Cistus_Labdanum_(rockrose)	Losing
Taylor Aura	Sandalwood_(australian),Freesia,Petitgrain	Lemon_Peel,Rose_(may_Rose_Or_Rose_De_Mai)	Amber(parfum),Linden_Blossom,Opopanax,Birch	Losing
Pleasures_Perfume_By_Estee_Lauder	Lily_(white),Green_Notes,Violet_Leaves	Jasmine,Karo_Karounde,Lilac,Lily_(black),Peony_(white),Rose,Rose_(baie)	Patchouli,Sandalwood	Winning
Aramis_Cologne_By_Aramis	Bergamot,Gardenia,Cumin,Leaves_(green),Artemisia_(armoise),Clary_Sage,Thyme	Jasmine,Cardamom,Clove,Patchouli,Sandalwood,Vetiver,Oakmoss	Leather,Treemoss,Amber	Winning
Leah Aura	Heather	Mandarin_Orange	Musk_(sheer),Floral_Honey_Accord,Rose_(rosa_Centifolia),Caramel	Losing
Lolita_Lempicka_Perfume_By_Lolita_Lempicka	Leaves_(ivy),Anise_(aniseed)	Iris_(orris),Violet,Cherry_(amarena),Licorice	Vetiver,Musk,Benzoin,Tonka_Bean,Vanilla,Praline	Winning
Burberry_Touch_Cologne_By_Burberry	Mandarin_Leaves,Violet_Leaves,Artemisia_(armoise)	Nutmeg,Pepper_(white),Cedarwood_(virginia)	Vetiver,Musk_(skin_Accord),Tonka_Bean	Winning
Romance_Perfume_By_Ralph_Lauren	Tangerine,Freesia_(yellow),Marigold_(tagete),Rose_(sungoddess),Ginger,Chamomile	Lily_(day),Lotus_Flower,Violet	Exotic_Woods,Patchouli,Oakmoss,Musk_(skin_2000_Accord)	Winning
Paul_Sebastian_Cologne	Lavender,Nutmeg,Celery	Geranium,Rose,Ylang-ylang,Clove,Spice	Patchouli,Oakmoss,Amber,Musk	Winning
Brenda Flame	Coriander,Woods_(precious),Green,Plum_(damson)	Acacia,Paperwhites_(indoor_Narcissus),Orris,Cashmeran	Incense,Aquatic_Accord,Linden_Blossom	Losing
The_One_Perfume_By_Dolce_&_Gabbana	Bergamot,Mandarin,Lychee,Peach	Jasmine,Lily_(madonna),Lily_Of_The_Valley_(muguet)	Vetiver,Amber,Musk,Vanilla,Plum	Winning
Design_Perfume_By_Paul_Sebastian	Mandarin,Tangerine,Cyclamen,Green_Notes,Herbs	Jasmine,Lilac,Lily_Of_The_Valley_(muguet),Neroli,Orange_Blossom,Tuberose,Ylang-ylang,Aldehydes	Violet,Cedarwood,Vetiver,Oakmoss,Amber,Cistus_Labdanum_(rockrose),Musk,Powdery_Notes	Winning
Emma Aura	Lilac,Violet_(butterfly),Plum_(damson),Mulberry	Amber,Pomegranate	Mandarin,Jasmine_(indonesian),Castoreum	Losing
Danielle Essence	Cucumber,Champaca,Sweet_Pea(edt),Amber_(liquid)	Mulberry,Sea_Water,Acacia	Rose_(tea),Tea	Losing
Tresor_Perfume_By_Lancôme	Lily_Of_The_Valley_(muguet),Rose_(white),Apricot,Peach,Peach_(white)	Iris_(orris),Lilac,Rose,Heliotrope,Peach	Sandalwood,Vetiver,Amber,Musk,Vanilla	Winning
Shelley Essence	Geranium	Pineapple,Rosewood,Orchid_(coconut),Grapefruit	Pink_Floral_Accord,Chamomile,Cherry_(amarena)	Losing
William Aura	Clove,Myrrh	Fir_Balsam,Mimosa,Cassia_Bark	Peony,Broom,Opopanax,Rosemary	Losing
Cynthia Flame	Citrus_Accord	Bamboo,Amber_Light_Accord,Musk-like_Notes,Musk_(soft)	Rose_(white),Moss,Aquatic_Accord,Violet_(parma)	Losing
Kenzo_Flower_Perfume_By_Kenzo	Floral_Energy_Accord,Hawthorn_(aubepine),Rose_(bulgarian),Violet_(parma),Cassia_Bark,Amber(parfum)	Powder_Power_Accord,Musks_(white),Opopanax,Vanilla,Almond(parfum)	Urban_Energy_Accord,Cyclosal,Hedione	Winning
Jean_Paul_Gaultier_Perfume_By_Jean_Paul_Gaultier	Mandarin,Orange,Rose,Star_Anise,Pear_Liqueur,Rum	Iris_(orris),Orange_Blossom,Tuberose,Ylang-ylang,Ginger(edt),Vanilla,Plum(edt)	Amberwood,Sandalwood,Vanilla	Winning
Jean_Paul_Gaultier_Cologne_By_Jean_Paul_Gaultier	Bergamot,Cardamom,Artemisia_(armoise),Mint	Lavender,Orange_Blossom,Cinnamon,Cumin	Cedarwood,Sandalwood,Amber,Tonka_Bean,Vanilla	Winning
Boucheron_Perfume_By_Boucheron	Bergamot,Mandarin,Orange_(bitter),Marigold_(tagete),Orange_Blossom,Galbanum,Basil,Apricot	Jasmine_(moroccan),Narcissus,Tuberose,Ylang-ylang,Broom	Patchouli,Sandalwood,Amber,Civet,Tonka_Bean,Vanilla	Winning
Kara Essence	Calabrian,Petitgrain,Spruce	Sweet_Pea(edt)	Cupcake_Accord,Woods_(blonde),Fir_Balsam,Strawberry	Losing
Karen Flame	Juniperberry,Hawthorn_(aubepine)	Orchid_(black),Amber_Light_Accord	Amaranth_Wood,Suede	Losing
Polo_Blue_Cologne_By_Ralph_Lauren	Tangerine,Melon_De_Cavaillon,Watermelon,Cucumber	Geranium,Verbena,Basil,Clary_Sage	Amberwood,Patchouli,Washed_Suede_Note,Oakmoss,Musk_(sheer)	Winning
William Aura	Rose_(jfk),Rose_(rosa_Centifolia),Sweet_Pea(edt),Cumin	Fennel,Fruity_Accord	Apple_Martini,Tolu	Losing
Morgan Aura	Bergamot,Praline,Ylang-ylang,Pepper_(black)	Mimosa,Lily,Lush_Green_Accord	Spice,Hedione_High_Cis,Juniperberry	Losing
Matthew Flame	Caramel,Karo_Karounde,Ginger(edt)	Orange_(bitter)	Leaves_(ivy),Angelica_Flower	Losing
Valerie Mist	Geranium,Rose_(jfk),Amber_(white),Praline	Wood_(white),Vanillin,Birch,Amber_(mineral)	Woody_Notes	Losing
Green_Tea_Perfume_By_Elizabeth_Arden	Bergamot,Lemon,Orange,Orange_Zest,Peppermint,Rhubarb	Carnation,Jasmine,Tea_(green),Celery_Seed	Oakmoss_Amber_(white),Musk	Winning
Angel_Perfume_By_Thierry_Mugler	Bergamot,Mandarin,Helional,Hedione	Dewberry,Honey,Red_Berries	Patchouli,Sandalwood_(australian),Coumarin,Vanilla,Caramel,Chocolate	Winning
Michael Aura	Ylang-ylang,Musk-like_Notes,Rose_Water	Citrus_Accord,Lily_(white)	Pineapple	Losing
Versace_Eros	Mint,Candy_Apple,Lemon,Mandarin_Orange	Ambroxan,Geranium,Clary_Sage	Vanilla,Cedar,Sandalwood,Leather,Bitter_Orange,Patchouli	Winning
Deborah Whisper	Spearmint,Balsam,Rose_Wood	Amberwood,Yuzu,Musk	Honey,Fir_(douglas),Linden_Blossom,Kashmir_Wood_Note	Losing
Pink_Sugar_Perfume_By_Aquolina	Raspberry,Orange,Bergamot,Fig_Leaf	Cotton_Candy,Licorice,Red_Berries,Strawberry,Lily_Of_The_Valley	Caramel,Vanilla,Musk,Tonka_Bean,Sandalwood	Winning
Joop_Cologne_By_Joop!	Bergamot,Jasmine,Orange_Blossom,Cinnamon	Jasmine,Sandalwood,Vetiver,Tobacco,Honeysuckle,Honey	Patchouli,Sandalwood,Vetiver,Amber,Musk,Tonka_Bean,Vanilla	Winning
Alfred_Sung_Perfume_By_Alfred_Sung	Galbanum,Peach,Bergamot,Coriander,Green	Orange_Blossom,Hyacinth,Muguet,Rose,Ylang-ylang,Orris,Carnation	Cedar,Vetiver,Sandalwood,Moss,,Amber,Vanilla,Tolu,Musk	Winning
Crystal_Noir_Perfume_By_Versace	Gardenia	Gardenia,Tuberose	Amber	Winning
Elizabeth_Arden_Red_Door	Rose_(jfk),Ylang-ylang,Fruity_Accord	Carnation,Freesia,Jasmine,Lily,Lily_Of_The_Valley_(muguet),Orange_Blossom,Orchid_(oriental),Violet	Sandalwood,Vetiver,Oakmoss,Musk,Honey	Winning
Sharon Aura	Coriander_And_Basil	Gardenia	Pepper	Losing
Regina Aura	Grapefruit	Cedar	Pepper,Cumin	Losing
Jadore_Perfume_By_Christian_Dior	Bergamot,Mandarin,Champaca,Leaves_(ivy)	Jasmine_(sambac),Rose_(turkish,Ottoman),Sweet_Pea(edt),Violet,Orchid_(crystallised)	Amaranth_Wood,Musk_(blackberry),Plum_(damson)	Winning
Matthew Mist	Cyclamen,Blond_Leather_,Orange,Lavender	Elemi,Peach_Nectar	Red_Apple,Cypress,Juniperberry,Sandalwood	Losing
Virginia Flame	Amber_(mineral),Freesia_(yellow)	Cumin,Aromatic_Notes,Jasmine_(desert)	Aromatic_Notes	Losing
Amarige_Perfume_By_Givenchy	Peach,Plum,Orange,Mandarin,Rose_Wood,Neroli	Mimosa,Neroli,Tuberose,Gardenia,Acacia,Black_Currant	Musk,Sandalwood,Vanilla,Amber,Tonka_Bean,Cedar	Winning
Drakkar_Noir_Cologne_By_Guy_Laroche	Lemon_Peel,Verbena	Lavender,Coriander,Fir_Balsam,Juniperberry	Patchouli,Sandalwood,Balsam	Winning
Obsession_Perfume_By_Calvin_Klein	Bergamot,Mandarin,Green_Notes,Vanillin	Jasmine,Orange_Blossom,Sandalwood,Vetiver,Coriander	Oakmoss,Amber,Musk,Incense	Winning
La_Vie_Est_Belle_Perfume_By_Lancôme	Black_Currant,Pear	Iris,Jasmine,Orange_Blossom	Praline,Vanilla,Patchouli,Tonka_Bean	Winning
Todd Essence	Sandalwood,Oak,Aldehydes	Cyclamen	Orris,Cypress,Almond_(sugared)	Losing
James Aura	Helional,Tobacco_Leaves	Cedar	Neroli,Lime,Lily_(day),Orchid_(crystallised)	Losing
L'eau_D'issey_(issey_Miyake)_Perfume_By_Issey_Miyake	Cyclamen,Freesia,Lotus_Flower,Rose_Water	Carnation(edp),Lily_(white),Osmanthus(edp),Peony	Woods_(precious),Amber,Musk	Winning
Cashmere_Mist_By_Donna_Karan	Bergamot	Jasmine_(moroccan),Lily_Of_The_Valley_(muguet),Suede	Cashmere_Accord,Sandalwood,Amber,Musk,Vanilla	Winning
Oscar Mist	Cistus_Labdanum_(rockrose)	Lychee	Carnation,Almond(parfum),Coriander_And_Basil	Losing
Emily Aura	Fruity_Accord,Pink_Floral_Accord,Champaca,Pear_(iced)	Jasmine_(egyptian),Rose_Wood,Mandarin,Rose_(jfk)	Blond_Leather_,Pinkpepper	Losing
